accountlength,areacode,churn,customerservicecalls,numbervmailmessages,totaldaycalls,totaldayminutes,totalevecalls,totaleveminutes,totalintlcalls,totalintlminutes,totalnightcalls,totalnightminutes
38,408,False,2,0,98.0,131.2,97.0,162.9,6.0,8.2,106.0,159.0
40,415,False,2,41,74.0,148.1,88.0,169.5,5.0,6.2,102.0,214.1
43,415,False,0,0,105.0,251.5,104.0,212.8,4.0,9.3,67.0,157.8
113,408,False,0,0,93.0,125.2,119.0,206.4,8.0,8.3,139.0,129.3
126,408,False,1,0,70.0,211.6,80.0,216.9,1.0,7.8,60.0,153.5
150,510,True,4,0,101.0,178.9,110.0,169.1,3.0,13.8,100.0,148.6
138,408,False,3,0,93.0,241.8,83.0,170.5,7.0,11.8,104.0,295.3
162,510,False,0,46,97.0,224.9,84.0,188.2,2.0,12.1,61.0,254.6
147,510,False,3,0,83.0,248.6,85.0,148.9,4.0,8.0,109.0,172.5
90,415,False,1,0,146.0,203.4,117.0,226.7,4.0,7.3,105.0,152.4
85,415,False,0,0,109.0,235.8,94.0,157.2,3.0,12.0,99.0,188.2
50,415,False,1,0,90.0,157.1,72.0,223.3,2.0,6.1,111.0,181.4
82,415,True,0,0,109.0,300.3,100.0,181.0,4.0,11.7,73.0,270.1
144,408,True,4,0,117.0,61.6,85.0,77.1,7.0,8.2,99.0,173.0
46,415,False,2,0,72.0,214.1,104.0,164.4,3.0,8.2,113.0,177.5
70,408,False,1,0,98.0,170.2,102.0,155.2,2.0,15.0,76.0,228.6
144,415,False,1,0,99.0,201.1,74.0,303.5,2.0,13.2,119.0,224.0
116,415,False,3,0,104.0,215.4,79.0,204.8,5.0,12.6,109.0,278.5
55,408,False,3,25,123.0,165.6,95.0,136.1,2.0,11.0,90.0,175.7
70,415,False,1,24,101.0,249.5,98.0,259.7,4.0,9.8,68.0,222.7
106,510,True,2,0,96.0,210.6,85.0,249.2,1.0,12.4,88.0,191.4
128,510,False,0,29,104.0,179.3,86.0,225.9,7.0,8.6,78.0,323.0
94,408,True,4,0,105.0,157.9,101.0,155.0,5.0,8.0,84.0,189.6
111,510,False,1,0,118.0,214.3,76.0,208.5,2.0,12.0,98.0,182.4
74,415,False,2,35,104.0,154.1,84.0,123.4,9.0,10.9,57.0,202.1
128,415,True,1,0,125.0,237.9,93.0,247.6,4.0,13.9,68.0,208.9
82,510,False,1,0,61.0,143.9,105.0,194.9,2.0,11.1,94.0,109.6
155,415,True,0,0,100.0,203.4,104.0,190.9,4.0,8.9,119.0,196.0
80,415,False,1,0,100.0,124.3,107.0,173.0,9.0,7.9,62.0,253.2
78,415,False,3,0,93.0,252.9,112.0,178.4,7.0,9.5,105.0,263.9
90,415,False,3,0,71.0,179.1,81.0,190.6,7.0,10.6,91.0,127.7
104,408,False,1,0,106.0,278.4,113.0,81.0,5.0,9.8,137.0,163.2
73,415,False,0,0,110.0,160.1,72.0,213.3,4.0,13.0,72.0,174.1
99,415,False,4,0,87.0,198.2,76.0,207.3,3.0,8.7,113.0,190.9
120,408,True,1,0,131.0,212.1,104.0,209.4,5.0,5.3,96.0,167.2
77,415,True,2,0,72.0,251.8,126.0,205.7,7.0,9.8,109.0,275.2
98,510,False,4,21,114.0,161.2,83.0,252.2,8.0,4.4,92.0,160.2
108,415,False,0,0,137.0,178.3,76.0,189.0,5.0,14.6,102.0,129.1
135,415,False,0,0,82.0,151.7,105.0,119.0,6.0,10.5,100.0,180.0
95,408,False,1,0,99.0,135.0,106.0,183.6,9.0,12.5,102.0,245.3
122,408,False,1,0,94.0,170.5,109.0,173.7,2.0,11.3,75.0,248.6
95,408,False,4,0,65.0,238.1,98.0,187.2,4.0,11.8,115.0,190.0
36,510,False,2,29,102.0,281.4,76.0,202.2,6.0,9.0,113.0,187.2
93,510,False,1,21,131.0,117.9,115.0,164.5,3.0,9.8,86.0,217.0
141,415,False,1,32,91.0,148.6,97.0,131.1,1.0,10.1,142.0,219.4
157,408,False,3,0,90.0,229.8,121.0,147.9,7.0,9.6,108.0,241.4
120,408,False,1,0,100.0,165.0,83.0,317.2,8.0,8.3,86.0,119.2
103,415,False,2,0,117.0,185.0,94.0,223.3,2.0,12.6,91.0,222.8
98,408,False,4,0,117.0,161.0,113.0,190.9,4.0,12.1,113.0,227.7
125,408,False,1,0,108.0,126.7,90.0,206.0,7.0,13.3,114.0,247.8
63,415,False,1,0,125.0,58.9,59.0,169.6,3.0,9.4,88.0,211.4
36,510,True,0,42,89.0,196.8,122.0,254.9,6.0,20.0,126.0,138.3
64,510,False,1,0,83.0,162.6,109.0,152.3,3.0,14.2,122.0,57.5
74,415,True,1,0,114.0,282.5,48.0,219.9,4.0,9.4,115.0,170.0
112,510,False,2,36,117.0,113.7,82.0,157.5,3.0,10.0,118.0,177.6
97,408,False,2,0,125.0,239.8,111.0,214.8,5.0,8.7,81.0,143.3
46,408,False,1,0,92.0,210.2,77.0,227.3,7.0,13.1,116.0,200.1
41,408,False,0,22,102.0,213.8,86.0,141.8,3.0,7.2,123.0,142.2
121,510,False,3,0,103.0,190.7,117.0,183.5,4.0,9.8,103.0,220.8
193,415,False,1,0,124.0,170.9,95.0,132.3,3.0,11.6,89.0,112.9
130,510,False,2,0,119.0,154.2,98.0,110.2,5.0,9.2,117.0,227.4
85,408,False,1,0,52.0,201.4,104.0,229.4,3.0,12.0,106.0,252.5
162,415,True,4,0,108.0,70.7,87.0,157.5,3.0,9.1,82.0,154.8
61,510,True,4,27,124.0,187.5,103.0,146.6,6.0,6.4,129.0,225.7
92,408,False,2,0,90.0,91.7,123.0,193.7,4.0,9.2,86.0,175.0
131,408,False,3,36,115.0,214.2,117.0,161.7,4.0,9.5,102.0,264.7
90,415,False,3,0,92.0,145.5,114.0,217.7,2.0,10.9,123.0,146.9
75,408,False,1,0,125.0,166.3,86.0,158.2,5.0,6.1,80.0,256.7
78,415,False,1,0,115.0,231.0,140.0,230.4,3.0,9.5,120.0,261.4
82,408,False,4,0,96.0,200.3,102.0,201.2,1.0,7.1,60.0,206.1
163,408,False,1,0,109.0,197.0,128.0,202.6,10.0,9.1,80.0,206.4
91,510,False,3,0,112.0,129.9,83.0,173.3,3.0,11.2,130.0,247.2
75,415,False,5,21,97.0,175.8,106.0,217.5,4.0,5.3,134.0,237.5
91,510,False,3,0,106.0,203.1,113.0,210.1,3.0,12.0,129.0,195.6
127,510,False,1,36,117.0,183.2,76.0,126.8,8.0,11.2,71.0,263.3
113,415,False,2,23,101.0,205.0,60.0,152.0,5.0,10.2,59.0,158.6
110,510,False,1,0,115.0,148.5,84.0,276.4,3.0,12.4,112.0,193.6
120,415,False,0,39,68.0,200.3,97.0,220.4,4.0,10.5,116.0,253.8
157,415,False,3,28,107.0,192.6,74.0,195.5,5.0,6.8,139.0,109.7
103,510,False,1,0,47.0,246.5,84.0,195.5,4.0,11.7,96.0,200.5
117,408,True,2,0,86.0,167.1,87.0,177.5,7.0,14.1,132.0,249.4
140,415,False,3,0,101.0,231.9,94.0,160.1,6.0,14.3,98.0,110.4
127,408,False,1,0,91.0,146.7,78.0,203.5,3.0,13.7,110.0,203.4
83,408,False,1,0,87.0,271.5,126.0,216.3,4.0,11.7,105.0,121.1
121,408,False,1,0,121.0,181.5,98.0,218.4,5.0,8.5,103.0,161.6
145,408,False,2,43,97.0,257.7,95.0,162.1,4.0,11.1,86.0,286.9
113,408,False,1,0,99.0,193.8,125.0,221.4,6.0,10.6,67.0,172.3
117,415,False,1,0,119.0,102.8,91.0,206.7,7.0,10.1,105.0,299.0
65,408,False,1,0,116.0,187.9,117.0,157.6,6.0,7.5,86.0,227.3
56,415,False,1,0,112.0,226.0,118.0,248.5,11.0,6.9,142.0,140.5
96,415,False,5,0,115.0,260.4,46.0,146.0,4.0,11.5,87.0,269.5
151,408,False,0,0,116.0,178.7,138.0,292.1,4.0,9.8,101.0,265.9
83,415,True,0,0,120.0,337.4,116.0,227.4,7.0,15.8,114.0,153.9
139,510,False,0,23,129.0,157.6,96.0,247.0,2.0,13.7,112.0,259.2
6,510,False,1,0,117.0,183.6,72.0,256.7,2.0,10.2,79.0,178.6
115,510,False,1,24,124.0,142.1,129.0,183.4,4.0,9.6,114.0,164.8
87,415,False,0,0,97.0,136.3,108.0,172.2,5.0,7.1,101.0,137.5
141,415,False,0,0,110.0,217.1,111.0,241.5,6.0,12.0,103.0,253.5
141,510,False,3,36,99.0,187.5,116.0,241.4,5.0,10.5,105.0,229.5
62,415,False,1,0,103.0,98.9,122.0,135.4,1.0,12.2,82.0,236.6
146,415,False,1,0,151.0,206.3,89.0,148.6,3.0,6.1,91.0,167.2
92,415,False,2,33,92.0,243.1,92.0,213.8,2.0,12.1,104.0,228.7
185,510,False,1,31,126.0,189.8,133.0,163.3,3.0,7.5,126.0,264.8
148,415,False,1,0,102.0,202.0,128.0,243.2,3.0,10.9,90.0,261.3
94,408,False,1,38,124.0,170.1,116.0,193.3,4.0,12.8,73.0,105.9
32,510,False,0,0,87.0,230.9,90.0,187.4,2.0,6.3,53.0,154.0
68,408,False,1,0,105.0,237.1,105.0,223.5,2.0,13.2,79.0,97.4
64,408,False,2,27,91.0,182.1,98.0,169.7,5.0,10.6,86.0,164.7
25,415,False,3,0,87.0,119.3,101.0,211.5,4.0,10.5,86.0,268.9
65,415,False,1,0,87.0,116.8,93.0,178.9,2.0,14.1,150.0,182.4
179,408,False,0,0,92.0,219.2,125.0,149.4,5.0,6.1,104.0,244.7
94,415,False,2,0,104.0,252.6,125.0,169.0,7.0,11.1,106.0,170.9
62,415,False,0,0,91.0,147.1,107.0,190.4,3.0,12.2,115.0,195.2
127,415,False,2,0,103.0,202.1,86.0,229.4,3.0,11.5,113.0,195.2
116,408,False,3,0,93.0,173.5,76.0,194.1,10.0,16.2,112.0,208.0
70,408,False,3,0,122.0,232.1,112.0,292.3,0.0,0.0,112.0,201.2
94,510,False,4,23,125.0,197.1,136.0,214.5,5.0,9.5,103.0,282.2
126,415,True,5,0,94.0,58.2,118.0,138.7,1.0,11.9,91.0,136.8
67,408,False,2,36,111.0,115.6,94.0,237.7,12.0,9.9,103.0,169.9
19,408,False,2,0,98.0,186.1,57.0,254.3,7.0,14.6,127.0,214.0
170,510,False,3,0,68.0,259.9,122.0,245.0,3.0,8.4,121.0,134.4
73,415,False,1,0,145.0,214.3,135.0,268.5,13.0,10.8,92.0,241.2
106,408,False,1,0,74.0,158.7,139.0,64.3,4.0,10.2,103.0,198.5
93,415,False,2,0,71.0,271.6,108.0,229.4,3.0,10.9,121.0,77.3
164,510,False,1,0,111.0,160.6,126.0,163.2,3.0,9.0,112.0,187.1
51,408,False,1,0,109.0,232.4,95.0,187.4,3.0,9.1,107.0,231.2
107,415,False,0,0,85.0,133.8,94.0,180.5,4.0,8.9,115.0,112.2
130,415,False,1,0,109.0,176.9,104.0,90.7,2.0,9.5,69.0,238.0
80,408,False,2,0,74.0,209.9,77.0,195.1,4.0,8.8,119.0,208.2
94,415,False,0,0,118.0,137.5,88.0,203.2,2.0,13.4,131.0,150.0
118,408,False,1,23,52.0,289.5,111.0,166.6,4.0,9.5,88.0,119.1
117,415,False,1,23,86.0,198.1,86.0,177.0,6.0,6.8,92.0,180.5
78,415,False,0,0,119.0,149.7,115.0,182.2,8.0,9.7,126.0,261.5
208,510,True,2,0,67.0,326.5,113.0,176.3,6.0,10.7,102.0,181.7
131,510,True,4,26,101.0,292.9,97.0,199.7,7.0,13.8,127.0,255.3
63,408,False,0,0,64.0,83.0,106.0,177.0,3.0,13.0,89.0,245.7
53,415,False,3,24,146.0,145.7,136.0,220.5,5.0,13.1,96.0,249.9
62,408,False,2,0,101.0,182.3,93.0,328.2,1.0,11.2,131.0,245.0
97,415,False,3,0,86.0,218.0,94.0,184.0,8.0,6.4,110.0,240.5
105,510,False,2,0,109.0,140.6,51.0,178.6,3.0,6.8,83.0,217.0
157,415,False,1,0,105.0,152.7,80.0,257.5,4.0,9.4,93.0,198.1
66,415,False,1,36,76.0,106.7,77.0,209.8,2.0,12.1,117.0,190.4
122,415,False,2,0,98.0,243.8,72.0,83.9,8.0,13.7,84.0,179.8
38,415,False,3,0,94.0,194.4,95.0,186.7,5.0,10.8,90.0,223.3
106,510,False,3,0,95.0,213.9,70.0,151.9,5.0,12.2,124.0,260.1
99,510,False,3,0,112.0,217.2,89.0,246.7,7.0,15.8,89.0,226.1
99,415,False,1,0,72.0,241.1,98.0,155.6,10.0,11.6,109.0,188.2
144,510,False,0,0,100.0,203.5,103.0,247.6,11.0,11.9,94.0,194.3
82,415,False,1,24,131.0,155.2,106.0,244.5,3.0,10.7,68.0,122.4
86,408,False,1,31,139.0,167.6,118.0,113.0,6.0,12.2,121.0,246.9
70,510,True,2,0,98.0,226.7,115.0,228.1,4.0,17.6,93.0,73.2
93,415,False,3,0,93.0,179.3,98.0,178.6,6.0,11.5,131.0,225.2
93,415,False,0,0,89.0,151.4,76.0,186.4,3.0,10.9,120.0,172.5
120,415,False,3,0,80.0,180.0,82.0,224.2,7.0,4.7,91.0,265.4
136,415,True,1,0,121.0,250.2,118.0,267.1,2.0,13.0,114.0,151.0
106,415,False,0,0,121.0,223.0,98.0,110.1,12.0,7.1,107.0,188.7
81,415,False,3,0,116.0,183.6,98.0,152.6,6.0,12.2,99.0,212.2
127,408,False,1,22,114.0,166.0,103.0,174.5,6.0,10.2,68.0,244.9
65,415,False,1,0,112.0,136.1,96.0,272.9,2.0,4.4,104.0,220.2
35,408,False,2,0,113.0,149.3,122.0,242.2,6.0,8.9,104.0,174.3
88,408,False,2,0,97.0,65.4,76.0,168.2,1.0,13.8,113.0,236.0
65,415,False,1,0,111.0,213.4,94.0,234.5,4.0,2.7,123.0,250.1
123,415,False,3,0,85.0,206.9,78.0,244.7,2.0,7.7,136.0,221.5
126,408,False,2,27,78.0,186.2,83.0,189.6,3.0,9.6,139.0,76.5
104,415,False,4,23,136.0,280.2,92.0,220.5,3.0,13.3,102.0,136.9
45,415,False,0,22,84.0,196.6,92.0,313.2,3.0,11.9,108.0,163.3
93,408,True,0,0,109.0,312.0,100.0,129.4,2.0,10.5,74.0,217.6
63,415,False,1,36,110.0,199.0,111.0,291.3,6.0,11.0,92.0,197.6
100,415,False,3,0,96.0,203.1,126.0,217.0,2.0,13.5,122.0,180.9
53,415,False,0,0,97.0,168.8,87.0,220.3,2.0,10.9,113.0,154.3
92,415,False,1,0,140.0,173.1,105.0,240.3,5.0,9.0,117.0,233.2
139,510,True,5,0,106.0,134.4,98.0,211.3,2.0,10.2,125.0,193.6
110,408,False,2,40,103.0,202.6,128.0,118.8,9.0,9.0,98.0,234.9
110,408,False,3,0,117.0,74.5,98.0,200.8,7.0,9.8,101.0,192.2
215,510,False,0,0,148.0,83.6,91.0,120.9,9.0,10.7,110.0,226.6
73,415,False,1,0,86.0,192.2,116.0,168.6,6.0,9.4,87.0,139.8
138,510,False,0,0,89.0,220.2,125.0,88.3,5.0,12.9,79.0,195.3
137,415,True,2,0,95.0,135.1,102.0,134.1,2.0,12.3,81.0,223.1
36,415,False,1,0,77.0,253.4,151.0,182.4,2.0,8.4,103.0,275.8
85,408,False,3,0,81.0,225.0,63.0,176.9,2.0,7.1,110.0,194.3
108,408,True,0,0,99.0,198.5,60.0,267.8,3.0,9.4,75.0,354.9
22,408,False,0,0,107.0,110.3,93.0,166.5,5.0,9.5,96.0,202.3
107,415,False,0,37,102.0,60.0,80.0,102.2,3.0,11.1,106.0,261.8
51,510,False,0,0,94.0,214.8,58.0,149.7,5.0,10.2,66.0,283.4
94,408,False,4,0,85.0,181.8,98.0,202.4,2.0,9.2,97.0,245.9
119,510,False,2,23,114.0,154.0,137.0,278.0,4.0,11.8,112.0,228.4
33,415,True,4,29,99.0,157.4,80.0,117.9,11.0,13.9,79.0,279.2
106,415,False,4,0,91.0,207.9,109.0,172.0,7.0,14.4,143.0,191.8
82,408,False,3,0,90.0,207.0,83.0,232.9,8.0,9.1,108.0,172.4
86,510,False,0,41,101.0,119.0,134.0,230.0,3.0,9.5,58.0,236.9
97,415,False,0,0,117.0,143.7,82.0,273.0,3.0,10.9,81.0,178.3
106,408,False,4,32,126.0,165.9,93.0,216.5,8.0,14.1,86.0,173.1
108,510,False,1,0,122.0,138.6,117.0,172.3,3.0,9.8,92.0,231.6
114,415,False,1,0,118.0,84.7,86.0,249.9,8.0,14.5,95.0,193.4
92,408,True,1,0,111.0,62.6,126.0,180.6,2.0,10.4,80.0,221.7
59,510,False,1,0,79.0,155.2,123.0,235.3,4.0,8.7,80.0,169.4
24,510,False,1,25,110.0,164.9,105.0,209.3,9.0,6.7,55.0,231.2
151,408,False,1,0,88.0,134.5,112.0,143.1,1.0,15.4,61.0,223.9
117,415,False,1,0,103.0,143.3,108.0,211.3,3.0,11.5,96.0,185.2
78,510,False,1,0,110.0,168.3,73.0,221.2,1.0,12.5,136.0,241.0
155,408,False,2,0,55.0,262.4,113.0,194.6,6.0,8.3,85.0,146.5
114,510,False,1,30,79.0,206.2,91.0,260.0,6.0,11.4,83.0,291.6
114,510,False,4,28,94.0,225.8,117.0,193.0,9.0,8.4,100.0,232.4
119,408,False,3,0,89.0,138.3,78.0,170.5,6.0,13.5,98.0,263.9
64,510,False,0,48,104.0,94.4,101.0,136.2,4.0,4.5,89.0,147.4
118,408,False,2,0,123.0,160.0,96.0,175.4,3.0,9.9,99.0,184.8
101,415,False,0,0,105.0,206.6,117.0,224.9,3.0,14.6,100.0,249.9
117,415,False,1,0,121.0,134.7,83.0,180.0,3.0,7.7,104.0,200.9
49,415,False,3,28,78.0,214.4,100.0,235.2,13.0,8.0,107.0,206.2
139,415,False,3,0,104.0,192.8,96.0,234.4,3.0,13.0,101.0,203.2
92,408,False,1,28,90.0,151.1,79.0,194.8,3.0,10.0,114.0,239.2
83,415,False,3,0,103.0,221.4,103.0,231.8,5.0,9.8,100.0,122.5
148,510,False,0,0,88.0,218.9,85.0,208.0,4.0,11.1,99.0,203.3
144,408,True,2,48,96.0,189.8,67.0,123.4,2.0,6.5,106.0,214.2
131,415,False,2,25,85.0,192.7,105.0,225.9,6.0,10.9,59.0,254.2
146,510,False,3,0,135.0,204.4,90.0,219.1,6.0,10.5,114.0,222.7
143,415,False,2,0,97.0,172.3,108.0,174.0,4.0,13.0,119.0,188.2
81,415,False,2,0,93.0,198.4,108.0,210.9,6.0,10.4,71.0,193.3
48,415,False,1,37,115.0,211.7,84.0,159.9,1.0,12.2,80.0,144.1
86,415,False,1,28,74.0,221.6,100.0,288.4,2.0,9.0,105.0,240.3
71,415,False,3,0,108.0,197.9,109.0,181.5,5.0,6.7,56.0,281.4
145,408,False,2,24,90.0,147.5,108.0,175.7,3.0,15.6,102.0,252.1
137,510,False,2,0,122.0,206.4,102.0,128.0,5.0,8.8,84.0,194.5
137,408,False,2,0,88.0,205.9,86.0,209.3,4.0,14.5,84.0,289.9
167,510,False,0,0,88.0,207.6,63.0,132.4,5.0,14.1,98.0,255.2
89,510,True,1,0,95.0,303.9,114.0,260.9,3.0,5.3,89.0,312.1
199,415,False,0,34,121.0,230.6,99.0,219.4,2.0,8.0,94.0,299.3
132,510,False,0,0,110.0,99.5,80.0,129.1,3.0,9.7,124.0,125.1
94,510,False,1,0,112.0,177.1,112.0,194.0,4.0,5.9,108.0,146.7
96,415,True,5,37,93.0,172.7,116.0,120.1,5.0,10.3,86.0,216.1
96,510,False,1,18,86.0,172.7,113.0,133.4,3.0,9.8,70.0,259.5
166,510,False,1,0,115.0,204.2,152.0,179.9,5.0,9.5,109.0,216.8
74,415,False,2,0,83.0,85.7,67.0,247.7,5.0,10.1,85.0,142.4
36,415,False,0,0,117.0,157.6,58.0,184.3,1.0,11.9,99.0,240.4
113,415,False,4,0,129.0,215.5,117.0,218.7,9.0,6.6,91.0,207.1
94,415,False,1,0,98.0,181.5,88.0,199.9,5.0,6.6,114.0,287.7
67,415,False,2,0,80.0,171.7,81.0,110.4,4.0,11.9,111.0,195.4
127,415,True,1,0,106.0,266.6,168.0,264.8,2.0,5.9,119.0,207.2
121,408,True,0,0,108.0,170.4,68.0,350.5,3.0,11.2,87.0,297.0
158,415,False,1,0,106.0,158.0,114.0,292.5,4.0,9.1,89.0,241.1
136,510,False,1,0,117.0,92.0,77.0,253.6,10.0,10.3,90.0,214.1
196,415,False,2,0,109.0,234.0,114.0,249.5,5.0,9.1,70.0,173.1
113,415,True,1,0,111.0,272.1,118.0,268.5,10.0,8.5,105.0,213.8
122,408,True,4,0,99.0,296.4,89.0,214.8,3.0,11.4,107.0,133.9
112,510,False,0,0,101.0,194.4,82.0,190.3,2.0,11.4,107.0,183.4
209,415,False,3,0,128.0,227.2,92.0,258.4,4.0,8.9,74.0,183.5
62,415,True,1,0,109.0,248.7,118.0,220.0,2.0,13.2,78.0,265.7
110,415,False,1,38,102.0,236.3,112.0,195.9,6.0,9.7,82.0,183.5
16,510,False,0,0,69.0,205.6,93.0,169.5,3.0,10.9,64.0,220.1
73,408,False,0,0,136.0,94.1,122.0,280.3,4.0,9.8,77.0,205.0
128,408,False,0,0,99.0,125.2,107.0,205.4,2.0,18.9,111.0,254.4
39,408,False,1,0,158.0,60.4,120.0,306.2,3.0,12.4,46.0,123.9
103,415,False,2,28,105.0,121.0,100.0,270.4,4.0,7.7,76.0,160.5
119,415,False,3,29,66.0,117.8,114.0,256.8,3.0,7.6,76.0,147.6
173,510,False,3,21,96.0,232.4,118.0,211.9,5.0,5.0,102.0,273.0
128,510,True,2,32,81.0,223.5,74.0,188.8,2.0,9.4,101.0,154.9
86,510,False,0,0,79.0,176.3,97.0,259.2,3.0,6.2,78.0,287.4
114,415,False,1,32,79.0,125.2,105.0,177.8,3.0,12.9,89.0,232.4
104,408,False,0,0,107.0,138.7,113.0,256.9,3.0,10.0,74.0,234.9
148,415,False,1,0,134.0,86.3,92.0,246.6,4.0,11.3,91.0,251.6
129,408,False,3,0,91.0,207.0,121.0,154.9,5.0,13.4,112.0,245.1
100,510,False,0,30,104.0,58.8,107.0,219.5,3.0,7.1,118.0,152.3
121,408,False,1,35,95.0,68.7,69.0,209.2,4.0,11.4,42.0,197.4
143,408,False,1,33,109.0,239.2,112.0,235.5,4.0,9.5,95.0,156.3
